City_Name,City_Code,percent_arab,percent_haredi,city_population
אבו ג'ווייעד (שבט),467061,to_be_determined,to_be_determined,to_be_determined
אבו גוש,227976,to_be_determined,to_be_determined,to_be_determined
אבו סנאן,228459,to_be_determined,to_be_determined,to_be_determined
אבו קורינאת (שבט),467544,to_be_determined,to_be_determined,to_be_determined
אבו רובייעה (שבט),466578,to_be_determined,to_be_determined,to_be_determined
אבו רוקייק (שבט),464163,to_be_determined,to_be_determined,to_be_determined
אבו תלול,664125,to_be_determined,to_be_determined,to_be_determined
אבטין,314916,to_be_determined,to_be_determined,to_be_determined
אבן יהודה,87906,to_be_determined,to_be_determined,to_be_determined
אבני חפץ,1832019,to_be_determined,to_be_determined,to_be_determined
אום אל-פחם,1308930,to_be_determined,to_be_determined,to_be_determined
אום בטין,655914,to_be_determined,to_be_determined,to_be_determined
אופקים,14973,to_be_determined,to_be_determined,to_be_determined
אור יהודה,1159200,to_be_determined,to_be_determined,to_be_determined
אור עקיבא,492660,to_be_determined,to_be_determined,to_be_determined
אורנית,1816080,to_be_determined,to_be_determined,to_be_determined
אזור,272895,to_be_determined,to_be_determined,to_be_determined
אחוזת ברק,642390,to_be_determined,to_be_determined,to_be_determined
אטרש (שבט),466095,to_be_determined,to_be_determined,to_be_determined
אילת,1255800,to_be_determined,to_be_determined,to_be_determined
אכסאל,230874,to_be_determined,to_be_determined,to_be_determined
אל סייד,656397,to_be_determined,to_be_determined,to_be_determined
אלון שבות,1740732,to_be_determined,to_be_determined,to_be_determined
אליכין,19803,to_be_determined,to_be_determined,to_be_determined
אלעד,632247,to_be_determined,to_be_determined,to_be_determined
אלעזר,1747494,to_be_determined,to_be_determined,to_be_determined
אלפי מנשה,1811250,to_be_determined,to_be_determined,to_be_determined
אלקנה,1719480,to_be_determined,to_be_determined,to_be_determined
אעבלין,255507,to_be_determined,to_be_determined,to_be_determined
אעצם (שבט),465129,to_be_determined,to_be_determined,to_be_determined
אפרת,1762950,to_be_determined,to_be_determined,to_be_determined
אריאל,1724310,to_be_determined,to_be_determined,to_be_determined
אשדוד,33810,to_be_determined,to_be_determined,to_be_determined
אשקלון,3429300,to_be_determined,to_be_determined,to_be_determined
באקה אל-גרביה,2898000,to_be_determined,to_be_determined,to_be_determined
באר יעקב,1221990,to_be_determined,to_be_determined,to_be_determined
באר שבע,4347000,to_be_determined,to_be_determined,to_be_determined
בועיינה-נוג'ידאת,232806,to_be_determined,to_be_determined,to_be_determined
בוקעאתא,1932483,to_be_determined,to_be_determined,to_be_determined
ביר אל-מכסור,482034,to_be_determined,to_be_determined,to_be_determined
ביר הדאג',651084,to_be_determined,to_be_determined,to_be_determined
בית אל,1726242,to_be_determined,to_be_determined,to_be_determined
בית אריה,1763916,to_be_determined,to_be_determined,to_be_determined
בית ג'ן,231840,to_be_determined,to_be_determined,to_be_determined
בית דגן,225078,to_be_determined,to_be_determined,to_be_determined
בית חשמונאי,507150,to_be_determined,to_be_determined,to_be_determined
בית יצחק-שער חפר,157458,to_be_determined,to_be_determined,to_be_determined
בית שאן,4443600,to_be_determined,to_be_determined,to_be_determined
בית שמש,1260630,to_be_determined,to_be_determined,to_be_determined
ביתר עילית,1825740,to_be_determined,to_be_determined,to_be_determined
בני ברק,2946300,to_be_determined,to_be_determined,to_be_determined
"בני עי""ש",514878,to_be_determined,to_be_determined,to_be_determined
בנימינה-גבעת עדה,4733400,to_be_determined,to_be_determined,to_be_determined
"בסמ""ה",640458,to_be_determined,to_be_determined,to_be_determined
בסמת טבעון,455952,to_be_determined,to_be_determined,to_be_determined
בענה,233289,to_be_determined,to_be_determined,to_be_determined
ברכה,1791930,to_be_determined,to_be_determined,to_be_determined
ברקת,984354,to_be_determined,to_be_determined,to_be_determined
