,,,,,,,
?????,????? ???,?????? ???????,?????? ??????? ??? ????,?????? ?? ???????,?????? ??????? ?-100 ??? ??????,?????? ??????? ??? ???? ?-100 ??? ??????,?????? ?? ??????? ?-100 ??? ??????
17-01-2021,??? ?????????,0,0,30,0,0,0.4
17-01-2021,??? ??? 60,0,0,25,0,0,5.3
17-01-2021,???? ???? 60,0,0,5,0,0,0.1
18-01-2021,??? ?????????,0,0,26,0,0,0.4
18-01-2021,???? ???? 60,0,0,8,0,0,0.1
18-01-2021,??? ??? 60,0,0,18,0,0,3.9
19-01-2021,??? ??? 60,0,0,21,0,0,4.6
19-01-2021,??? ?????????,0,0,22,0,0,0.3
19-01-2021,???? ???? 60,0,0,1,0,0,0
20-01-2021,??? ?????????,0,0,36,0,0,0.5
20-01-2021,??? ??? 60,0,0,34,0,0,7.5
20-01-2021,???? ???? 60,0,0,2,0,0,0
21-01-2021,???? ???? 60,0,0,2,0,0,0
21-01-2021,??? ?????????,0,0,31,0,0,0.5
21-01-2021,??? ??? 60,0,0,29,0,0,6.5
22-01-2021,???? ???? 60,0,0,2,0,0,0
22-01-2021,??? ?????????,0,0,39,0,0,0.6
22-01-2021,??? ??? 60,0,0,37,0,0,8.4
23-01-2021,???? ???? 60,0,0,4,0,0,0.1
23-01-2021,??? ?????????,0,0,30,0,0,0.4
23-01-2021,??? ??? 60,0,0,26,0,0,5.9
24-01-2021,??? ??? 60,3,0,31,1.2,0,7.2
24-01-2021,???? ???? 60,0,0,4,0,0,0.1
24-01-2021,??? ?????????,3,0,35,0.8,0,0.5
25-01-2021,??? ?????????,1,0,39,0.2,0,0.6
25-01-2021,??? ??? 60,1,0,35,0.3,0,8.2
25-01-2021,???? ???? 60,0,0,4,0,0,0.1
26-01-2021,???? ???? 60,0,0,4,0,0,0.1
26-01-2021,??? ??? 60,1,0,26,0.2,0,6.2
26-01-2021,??? ?????????,1,0,30,0.2,0,0.5
27-01-2021,??? ?????????,1,0,33,0.1,0,0.5
27-01-2021,???? ???? 60,0,0,2,0,0,0
27-01-2021,??? ??? 60,1,0,31,0.2,0,7.5
28-01-2021,??? ?????????,3,0,28,0.3,0,0.4
28-01-2021,??? ??? 60,2,0,27,0.3,0,6.6
28-01-2021,???? ???? 60,1,0,1,0.3,0,0
29-01-2021,??? ?????????,1,0,30,0.1,0,0.5
29-01-2021,??? ??? 60,1,0,26,0.2,0,6.4
29-01-2021,???? ???? 60,0,0,4,0,0,0.1
30-01-2021,???? ???? 60,0,0,5,0,0,0.1
30-01-2021,??? ?????????,3,0,17,0.3,0,0.3
30-01-2021,??? ??? 60,3,0,12,0.4,0,3
31-01-2021,???? ???? 60,0,0,1,0,0,0
31-01-2021,??? ??? 60,12,0,22,1.6,0,5.5
31-01-2021,??? ?????????,12,0,23,1,0,0.4
01-02-2021,??? ??? 60,4,0,19,0.5,0,4.8
01-02-2021,???? ???? 60,0,0,1,0,0,0
01-02-2021,??? ?????????,4,0,20,0.3,0,0.3
02-02-2021,??? ?????????,8,0,34,0.5,0,0.6
02-02-2021,??? ??? 60,8,0,29,0.9,0,7.5
02-02-2021,???? ???? 60,0,0,5,0,0,0.1
03-02-2021,??? ?????????,10,0,26,0.6,0,0.4
03-02-2021,??? ??? 60,10,0,21,1.1,0,5.5
03-02-2021,???? ???? 60,0,0,5,0,0,0.1
04-02-2021,??? ??? 60,7,0,23,0.7,0,6.1
04-02-2021,???? ???? 60,0,0,1,0,0,0
04-02-2021,??? ?????????,7,0,24,0.4,0,0.4
05-02-2021,??? ?????????,7,0,17,0.4,0,0.3
05-02-2021,???? ???? 60,0,0,1,0,0,0
05-02-2021,??? ??? 60,7,0,16,0.7,0,4.2
06-02-2021,???? ???? 60,0,0,2,0,0,0
06-02-2021,??? ?????????,9,0,27,0.5,0,0.5
06-02-2021,??? ??? 60,9,0,25,0.9,0,6.7
07-02-2021,??? ??? 60,7,0,23,0.7,0,6.2
07-02-2021,???? ???? 60,0,0,3,0,0,0.1
07-02-2021,??? ?????????,7,0,26,0.4,0,0.4
08-02-2021,???? ???? 60,0,0,5,0,0,0.1
08-02-2021,??? ?????????,6,0,20,0.3,0,0.3
08-02-2021,??? ??? 60,6,0,15,0.6,0,4.1
09-02-2021,??? ?????????,5,0,26,0.3,0,0.5
09-02-2021,???? ???? 60,1,0,4,0.1,0,0.1
09-02-2021,??? ??? 60,4,0,22,0.4,0,6.1
10-02-2021,??? ?????????,9,0,12,0.4,0,0.2
10-02-2021,???? ???? 60,0,0,2,0,0,0
10-02-2021,??? ??? 60,9,0,10,0.8,0,2.8
11-02-2021,??? ??? 60,8,0,16,0.7,0,4.5
11-02-2021,???? ???? 60,0,0,1,0,0,0
11-02-2021,??? ?????????,8,0,17,0.4,0,0.3
12-02-2021,??? ?????????,10,0,21,0.5,0,0.4
12-02-2021,???? ???? 60,0,0,4,0,0,0.1
12-02-2021,??? ??? 60,10,0,17,0.9,0,4.8
13-02-2021,??? ??? 60,4,0,17,0.4,0,4.9
13-02-2021,??? ?????????,4,0,20,0.2,0,0.4
13-02-2021,???? ???? 60,0,0,3,0,0,0.1
14-02-2021,??? ??? 60,3,0,20,0.3,0,5.8
14-02-2021,???? ???? 60,0,0,4,0,0,0.1
14-02-2021,??? ?????????,3,0,24,0.1,0,0.4
15-02-2021,??? ??? 60,1,0,12,0.1,0,3.6
15-02-2021,??? ?????????,1,0,13,0,0,0.2
15-02-2021,???? ???? 60,0,0,1,0,0,0
16-02-2021,???? ???? 60,0,0,4,0,0,0.1
