date_as_date,date_as_date,StringencyIndex,r,colors
2020-03-01,2020-03-01,19.44,2.36,red
2020-03-02,2020-03-02,19.44,2.63,red
2020-03-03,2020-03-03,19.44,2.18,red
2020-03-04,2020-03-04,33.33,2.26,red
2020-03-05,2020-03-05,33.33,2.31,red
2020-03-06,2020-03-06,33.33,2.28,red
2020-03-07,2020-03-07,33.33,2.36,red
2020-03-08,2020-03-08,33.33,2.39,red
2020-03-09,2020-03-09,33.33,2.32,red
2020-03-10,2020-03-10,33.33,2.25,red
2020-03-11,2020-03-11,33.33,2.13,red
2020-03-12,2020-03-12,41.67,2.08,red
2020-03-13,2020-03-13,52.78,1.96,red
2020-03-14,2020-03-14,52.78,1.85,red
2020-03-15,2020-03-15,62.96,1.74,red
2020-03-16,2020-03-16,68.52,1.6,red
2020-03-17,2020-03-17,77.78,1.52,red
2020-03-18,2020-03-18,77.78,1.46,red
2020-03-19,2020-03-19,77.78,1.38,red
2020-03-20,2020-03-20,81.48,1.34,red
2020-03-21,2020-03-21,81.48,1.25,red
2020-03-22,2020-03-22,81.48,1.2,red
2020-03-23,2020-03-23,81.48,1.13,red
2020-03-24,2020-03-24,81.48,0.99,red
2020-03-25,2020-03-25,81.48,0.89,red
2020-03-26,2020-03-26,81.48,0.8,red
2020-03-27,2020-03-27,81.48,0.77,red
2020-03-28,2020-03-28,81.48,0.78,yellow
2020-03-29,2020-03-29,81.48,0.82,green
2020-03-30,2020-03-30,81.48,0.86,green
2020-03-31,2020-03-31,81.48,0.89,green
2020-04-01,2020-04-01,85.19,0.91,green
2020-04-02,2020-04-02,85.19,0.91,green
2020-04-03,2020-04-03,87.96,0.91,green
2020-04-04,2020-04-04,87.96,0.9,green
2020-04-05,2020-04-05,87.96,0.83,yellow
2020-04-06,2020-04-06,87.96,0.81,yellow
2020-04-07,2020-04-07,90.74,0.8,yellow
2020-04-08,2020-04-08,94.44,0.8,green
2020-04-09,2020-04-09,94.44,0.83,green
2020-04-10,2020-04-10,94.44,0.84,green
2020-04-11,2020-04-11,91.67,0.81,green
2020-04-12,2020-04-12,91.67,0.74,green
2020-04-13,2020-04-13,91.67,0.69,green
2020-04-14,2020-04-14,94.44,0.68,green
2020-04-15,2020-04-15,94.44,0.64,green
2020-04-16,2020-04-16,94.44,0.63,green
2020-04-17,2020-04-17,91.67,0.61,green
2020-04-18,2020-04-18,91.67,0.59,green
2020-04-19,2020-04-19,87.96,0.57,green
2020-04-20,2020-04-20,87.96,0.56,green
2020-04-21,2020-04-21,87.96,0.5,green
2020-04-22,2020-04-22,87.96,0.55,green
2020-04-23,2020-04-23,87.96,0.54,green
2020-04-24,2020-04-24,87.96,0.5,green
2020-04-25,2020-04-25,87.96,0.49,green
2020-04-26,2020-04-26,84.26,0.54,green
2020-04-27,2020-04-27,84.26,0.58,green
2020-04-28,2020-04-28,87.04,0.61,green
2020-04-29,2020-04-29,87.04,0.63,green
2020-04-30,2020-04-30,84.26,0.6,green
2020-05-01,2020-05-01,84.26,0.58,green
2020-05-02,2020-05-02,84.26,0.56,green
2020-05-03,2020-05-03,80.56,0.57,green
2020-05-04,2020-05-04,80.56,0.62,green
2020-05-05,2020-05-05,77.78,0.68,green
2020-05-06,2020-05-06,77.78,0.64,green
2020-05-07,2020-05-07,77.78,0.68,green
2020-05-08,2020-05-08,77.78,0.77,green
2020-05-09,2020-05-09,77.78,0.78,green
2020-05-10,2020-05-10,77.78,0.81,green
2020-05-11,2020-05-11,77.78,0.83,green
2020-05-12,2020-05-12,77.78,1.1,green
2020-05-13,2020-05-13,77.78,1.26,green
2020-05-14,2020-05-14,77.78,1.54,green
2020-05-15,2020-05-15,77.78,1.84,green
2020-05-16,2020-05-16,77.78,1.89,red
2020-05-17,2020-05-17,77.78,2.02,red
2020-05-18,2020-05-18,77.78,2.08,red
2020-05-19,2020-05-19,77.78,1.93,red
2020-05-20,2020-05-20,75.0,1.86,red
2020-05-21,2020-05-21,75.0,1.7,red
2020-05-22,2020-05-22,75.0,1.46,red
2020-05-23,2020-05-23,75.0,1.48,red
2020-05-24,2020-05-24,75.0,1.43,red
2020-05-25,2020-05-25,75.0,1.42,red
2020-05-26,2020-05-26,75.0,1.36,red
2020-05-27,2020-05-27,75.0,1.44,red
2020-05-28,2020-05-28,75.0,1.38,red
2020-05-29,2020-05-29,75.0,1.34,red
2020-05-30,2020-05-30,75.0,1.36,red
2020-05-31,2020-05-31,75.0,1.28,red
2020-06-01,2020-06-01,75.0,1.22,red
2020-06-02,2020-06-02,75.0,1.26,red
2020-06-03,2020-06-03,75.0,1.2,red
2020-06-04,2020-06-04,75.0,1.23,red
2020-06-05,2020-06-05,75.0,1.26,red
2020-06-06,2020-06-06,75.0,1.23,red
2020-06-07,2020-06-07,75.0,1.22,red
2020-06-08,2020-06-08,75.0,1.26,red
2020-06-09,2020-06-09,75.0,1.27,red
2020-06-10,2020-06-10,75.0,1.32,red
2020-06-11,2020-06-11,75.0,1.34,red
2020-06-12,2020-06-12,75.0,1.33,red
2020-06-13,2020-06-13,75.0,1.38,red
2020-06-14,2020-06-14,75.0,1.41,red
2020-06-15,2020-06-15,75.0,1.46,red
2020-06-16,2020-06-16,75.0,1.44,red
2020-06-17,2020-06-17,75.0,1.46,red
2020-06-18,2020-06-18,75.0,1.49,red
2020-06-19,2020-06-19,75.0,1.5,red
2020-06-20,2020-06-20,75.0,1.5,red
2020-06-21,2020-06-21,75.0,1.51,red
