,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
58929,2/20/2020,,,,,,,,,,,,,,,,,,,,,,29.0,29.0,0.003,0.003,,,,,tests performed,,,,,,,,,,,,,,19.44,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58930,2/21/2020,1.0,1.0,,,,,0.108,0.108,,,,,,,,,,,,,,28.0,57.0,0.006,0.003,,,,,tests performed,,,,,,,,,,,,,,19.44,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58931,2/22/2020,1.0,0.0,,,,,0.108,0.0,,,,,,,,,,,,,,13.0,70.0,0.008,0.001,,,,,tests performed,,,,,,,,,,,,,,19.44,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58932,2/23/2020,1.0,0.0,,,,,0.108,0.0,,,,,,,,,,,,,,56.0,126.0,0.014,0.006,,,,,tests performed,,,,,,,,,,,,,,19.44,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,-331.6,-3.94,-1.95,-35.69045313
58933,2/24/2020,1.0,0.0,,,,,0.108,0.0,,,,,,,,,,,,,,75.0,201.0,0.022,0.008,,,,,tests performed,,,,,,,,,,,,,,19.44,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58934,2/25/2020,1.0,0.0,,,,,0.108,0.0,,,,,,,,,,,,,,108.0,309.0,0.033,0.012,,,,,tests performed,,,,,,,,,,,,,,19.44,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58935,2/26/2020,2.0,1.0,0.286,,,0.0,0.215,0.108,0.031,,,0.0,,,,,,,,,,108.0,417.0,0.045,0.012,,,,,tests performed,,,,,,,,,,,,,,19.44,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58936,2/27/2020,3.0,1.0,0.429,,,0.0,0.323,0.108,0.046,,,0.0,,,,,,,,,,171.0,588.0,0.063,0.018,80.0,0.009,0.005,186.5,tests performed,,,,,,,,,,,,,,19.44,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58937,2/28/2020,6.0,3.0,0.714,,,0.0,0.646,0.323,0.077,,,0.0,,,,,,,,,,118.0,706.0,0.076,0.013,93.0,0.01,0.008,130.3,tests performed,,,,,,,,,,,,,,19.44,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58938,2/29/2020,6.0,0.0,0.714,,,0.0,0.646,0.0,0.077,,,0.0,,,,,,,,,,158.0,864.0,0.093,0.017,113.0,0.012,0.006,158.3,tests performed,,,,,,,,,,,,,,19.44,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58939,3/1/2020,7.0,1.0,0.857,,,0.0,0.753,0.108,0.092,,,0.0,,,,,,,,,,187.0,1051.0,0.113,0.02,132.0,0.014,0.006,154.0,tests performed,,,,,,,,,,,,,,19.44,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,-411.9,-4.38,-8.15,-44.3332257
58940,3/2/2020,12.0,5.0,1.571,,,0.0,1.292,0.538,0.169,,,0.0,,,,10.0,1.138,,,,,171.0,1222.0,0.132,0.018,146.0,0.016,0.011,92.9,tests performed,,,,,,,,,,,,,,19.44,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58941,3/3/2020,15.0,3.0,2.0,,,0.0,1.614,0.323,0.215,,,0.0,,,,10.0,1.138,,,,,235.0,1457.0,0.157,0.025,164.0,0.018,0.012,82.0,tests performed,,,,,,,,,,,,,,19.44,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58942,3/4/2020,15.0,0.0,1.857,,,0.0,1.614,0.0,0.2,,,0.0,,,,12.0,1.365,,,,,129.0,1586.0,0.171,0.014,167.0,0.018,0.011,89.9,tests performed,,,,,,,,,,,,,,33.33,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58943,3/5/2020,21.0,6.0,2.571,,,0.0,2.26,0.646,0.277,,,0.0,,,,13.0,1.479,,,,,173.0,1759.0,0.189,0.019,167.0,0.018,0.015,65.0,tests performed,,,,,,,,,,,,,,33.33,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58944,3/6/2020,37.0,16.0,4.429,,,0.0,3.982,1.722,0.477,,,0.0,,,,16.0,1.82,,,,,274.0,2033.0,0.219,0.029,190.0,0.02,0.023,42.9,tests performed,,,,,,,,,,,,,,33.33,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58945,3/7/2020,47.0,10.0,5.857,,,0.0,5.059,1.076,0.63,,,0.0,,,,19.0,2.162,,,,,336.0,2369.0,0.255,0.036,215.0,0.023,0.027,36.7,tests performed,,,,,,,,,,,,,,33.33,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58946,3/8/2020,56.0,9.0,7.0,,,0.0,6.027,0.969,0.753,,,0.0,,,,26.0,2.958,5.0,0.569,22.0,2.503,421.0,2790.0,0.3,0.045,248.0,0.027,0.028,35.4,tests performed,,,,,,,,,,,,,,33.33,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,-446.2,-4.3,-3.56,-48.0249704
58947,3/9/2020,60.0,4.0,6.857,,,0.0,6.458,0.431,0.738,,,0.0,,,,40.0,4.551,,,,,518.0,3308.0,0.356,0.056,298.0,0.032,0.023,43.5,tests performed,,,,,,,,,,,,,,33.33,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58948,3/10/2020,88.0,28.0,10.429,,,0.0,9.472,3.014,1.122,,,0.0,,,,61.0,6.94,,,,,520.0,3828.0,0.412,0.056,339.0,0.036,0.031,32.5,tests performed,,,,,,,,,,,,,,33.33,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58949,3/11/2020,60.0,-28.0,6.429,,,0.0,6.458,-3.014,0.692,,,0.0,,,,84.0,9.557,,,,,401.0,4229.0,0.455,0.043,378.0,0.041,0.017,58.8,tests performed,,,,,,,,,,,,,,33.33,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58950,3/12/2020,81.0,21.0,8.571,,,0.0,8.718,2.26,0.923,,,0.0,,,,107.0,12.173,,,,,607.0,4836.0,0.521,0.065,440.0,0.047,0.019,51.3,tests performed,,,,,,,,,,,,,,41.67,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58951,3/13/2020,112.0,31.0,10.714,,,0.0,12.055,3.337,1.153,,,0.0,,,,126.0,14.335,,,,,694.0,5530.0,0.595,0.075,500.0,0.054,0.021,46.7,tests performed,,,,,,,,,,,,,,52.78,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58952,3/14/2020,138.0,26.0,13.0,,,0.0,14.853,2.798,1.399,,,0.0,2.61,,,166.0,18.886,,,,,614.0,6144.0,0.661,0.066,539.0,0.058,0.024,41.5,tests performed,,,,,,,,,,,,,,52.78,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58953,3/15/2020,177.0,39.0,17.286,,,0.0,19.051,4.198,1.86,,,0.0,2.64,,,205.0,23.323,6.0,0.683,187.0,21.275,1183.0,7327.0,0.789,0.127,648.0,0.07,0.027,37.5,tests performed,,,,,,,,,,,,,,62.96,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,-427.5,-3.78,1.98,-46.01226994
58954,3/16/2020,251.0,74.0,27.286,,,0.0,27.015,7.965,2.937,,,0.0,2.67,,,224.0,25.484,,,,,1344.0,8671.0,0.933,0.145,766.0,0.082,0.036,28.1,tests performed,,,,,,,,,,,,,,68.52,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58955,3/17/2020,295.0,44.0,29.571,,,0.0,31.751,4.736,3.183,,,0.0,2.66,,,259.0,29.466,,,,,1646.0,10317.0,1.11,0.177,927.0,0.1,0.032,31.3,tests performed,,,,,,,,,,,,,,77.78,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58956,3/18/2020,371.0,76.0,44.429,,,0.0,39.931,8.18,4.782,,,0.0,2.66,,,312.0,35.496,,,,,2106.0,12423.0,1.337,0.227,1171.0,0.126,0.038,26.4,tests performed,,,,,,,,,,,,,,77.78,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58957,3/19/2020,386.0,15.0,43.571,,,0.0,41.546,1.614,4.69,,,0.0,2.76,,,300.0,34.131,,,,,2076.0,14499.0,1.561,0.223,1380.0,0.149,0.032,31.7,tests performed,,,,,,,,,,,,,,77.78,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58958,3/20/2020,628.0,242.0,73.714,1.0,1.0,0.143,67.592,26.047,7.934,0.108,0.108,0.015,2.91,,,293.0,33.334,,,,,2317.0,16816.0,1.81,0.249,1612.0,0.174,0.046,21.9,tests performed,,,,,,,,,,,,,,81.48,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58959,3/21/2020,843.0,215.0,100.714,1.0,0.0,0.143,90.733,23.141,10.84,0.108,0.0,0.015,2.9,,,284.0,32.31,,,,,2108.0,18924.0,2.037,0.227,1826.0,0.197,0.055,18.1,tests performed,,,,,,,,,,,,,,81.48,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
58960,3/22/2020,1080.0,237.0,129.0,1.0,0.0,0.143,116.242,25.509,13.884,0.108,0.0,0.015,2.84,,,333.0,37.885,30.0,3.413,271.0,30.831,3226.0,22150.0,2.384,0.347,2118.0,0.228,0.061,16.4,tests performed,,,,,,,,,,,,,,81.48,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,-421.8,-3.46,0.64,-45.39877301
58961,3/23/2020,1249.0,169.0,142.571,1.0,0.0,0.143,134.431,18.19,15.345,0.108,0.0,0.015,2.77,,,363.0,41.298,,,,,3523.0,25673.0,2.763,0.379,2429.0,0.261,0.059,17.0,tests performed,,,,,,,,,,,,,,81.48,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,,,,
